Category,Order Date,Segment,Number of Records,Sales Target (Sales Target)
Furniture,12/24/2014,Consumer,1,123
Furniture,12/29/2014,Consumer,1,354
Furniture,1/2/2015,Consumer,1,20
Furniture,1/3/2015,Consumer,1,1149
Furniture,1/5/2015,Consumer,1,506
Furniture,1/6/2015,Consumer,1,2
Furniture,1/6/2015,Consumer,1,18
Furniture,1/6/2015,Consumer,1,1313
Furniture,1/7/2015,Consumer,1,1094
Furniture,1/11/2015,Consumer,1,326
Furniture,1/15/2015,Consumer,1,629
Furniture,1/24/2015,Consumer,1,815
Furniture,1/26/2015,Consumer,1,5727
Furniture,1/28/2015,Consumer,1,310
Furniture,2/7/2015,Consumer,1,564
Furniture,2/8/2015,Consumer,1,243
Furniture,2/9/2015,Consumer,1,64
Furniture,2/9/2015,Consumer,1,945
Furniture,2/13/2015,Consumer,1,5
Furniture,2/14/2015,Consumer,1,943
Furniture,2/16/2015,Consumer,1,780
Furniture,2/20/2015,Consumer,1,359
Furniture,2/24/2015,Consumer,1,73
Furniture,2/24/2015,Consumer,1,124
Furniture,2/26/2015,Consumer,1,757
Furniture,2/28/2015,Consumer,1,201
Furniture,3/1/2015,Consumer,1,109
Furniture,3/2/2015,Consumer,1,501
Furniture,3/4/2015,Consumer,1,4151
Furniture,3/7/2015,Consumer,1,113
Furniture,3/7/2015,Consumer,1,1401
Furniture,3/14/2015,Consumer,1,1382
Furniture,3/19/2015,Consumer,1,686
Furniture,3/24/2015,Consumer,1,276
Furniture,3/25/2015,Consumer,1,127
Furniture,3/27/2015,Consumer,1,346
Furniture,4/1/2015,Consumer,1,123
Furniture,4/7/2015,Consumer,1,11
Furniture,4/7/2015,Consumer,1,155
Furniture,4/8/2015,Consumer,1,283
Furniture,4/10/2015,Consumer,1,186
Furniture,4/11/2015,Consumer,1,2074
Furniture,4/11/2015,Consumer,1,2184
Furniture,4/13/2015,Consumer,1,1819
Furniture,4/17/2015,Consumer,1,270
Furniture,4/18/2015,Consumer,1,367
Furniture,4/21/2015,Consumer,1,120
Furniture,4/22/2015,Consumer,1,4213
Furniture,4/28/2015,Consumer,1,31
Furniture,5/6/2015,Consumer,1,1335
Furniture,5/7/2015,Consumer,1,424
Furniture,5/10/2015,Consumer,1,1651
Furniture,5/11/2015,Consumer,1,819
Furniture,5/13/2015,Consumer,1,554
Furniture,5/21/2015,Consumer,1,177
Furniture,5/22/2015,Consumer,1,568
Furniture,5/24/2015,Consumer,1,907
Furniture,5/26/2015,Consumer,1,29
Furniture,5/28/2015,Consumer,1,282
Furniture,5/29/2015,Consumer,1,3444
Furniture,5/31/2015,Consumer,1,48
Furniture,6/5/2015,Consumer,1,2
Furniture,6/5/2015,Consumer,1,310
Furniture,6/7/2015,Consumer,1,1076
Furniture,6/10/2015,Consumer,1,127
Furniture,6/20/2015,Consumer,1,515
Furniture,6/22/2015,Consumer,1,98
Furniture,6/22/2015,Consumer,1,642
Furniture,6/24/2015,Consumer,1,15
Furniture,6/25/2015,Consumer,1,868
Furniture,7/1/2015,Consumer,1,3570
Furniture,7/3/2015,Consumer,1,28
Furniture,7/4/2015,Consumer,1,188
Furniture,7/9/2015,Consumer,1,2319
Furniture,7/10/2015,Consumer,1,2804
Furniture,7/12/2015,Consumer,1,395
Furniture,7/13/2015,Consumer,1,522
Furniture,7/14/2015,Consumer,1,327
Furniture,7/18/2015,Consumer,1,192
Furniture,7/19/2015,Consumer,1,463
Furniture,7/20/2015,Consumer,1,208
Furniture,7/22/2015,Consumer,1,2
Furniture,7/22/2015,Consumer,1,1217
Furniture,7/24/2015,Consumer,1,547
Furniture,7/31/2015,Consumer,1,450
Furniture,7/31/2015,Consumer,1,2140
Furniture,8/10/2015,Consumer,1,47
Furniture,8/13/2015,Consumer,1,33
Furniture,8/17/2015,Consumer,1,947
Furniture,8/17/2015,Consumer,1,1864
Furniture,8/19/2015,Consumer,1,563
Furniture,8/22/2015,Consumer,1,302
Furniture,8/23/2015,Consumer,1,126
Furniture,8/26/2015,Consumer,1,368
Furniture,8/26/2015,Consumer,1,376
Furniture,8/31/2015,Consumer,1,356
Furniture,9/3/2015,Consumer,1,22
Furniture,9/7/2015,Consumer,1,251
Furniture,9/7/2015,Consumer,1,366
Furniture,9/10/2015,Consumer,1,110
Furniture,9/11/2015,Consumer,1,12
Furniture,9/12/2015,Consumer,1,518
Furniture,9/17/2015,Consumer,1,273
Furniture,9/17/2015,Consumer,1,1363
Furniture,9/20/2015,Consumer,1,1554
Furniture,9/21/2015,Consumer,1,177
Furniture,9/29/2015,Consumer,1,438
Furniture,9/29/2015,Consumer,1,494
Furniture,9/30/2015,Consumer,1,965
Furniture,9/30/2015,Consumer,1,1024
Furniture,10/3/2015,Consumer,1,199
Furniture,10/3/2015,Consumer,1,477
Furniture,10/4/2015,Consumer,1,423
Furniture,10/5/2015,Consumer,1,45
Furniture,10/9/2015,Consumer,1,243
Furniture,10/10/2015,Consumer,1,266
Furniture,10/12/2015,Consumer,1,90
Furniture,10/12/2015,Consumer,1,308
Furniture,10/12/2015,Consumer,1,749
Furniture,10/12/2015,Consumer,1,1424
Furniture,10/13/2015,Consumer,1,88
Furniture,10/18/2015,Consumer,1,114
Furniture,10/19/2015,Consumer,1,175
Furniture,10/21/2015,Consumer,1,732
Furniture,10/24/2015,Consumer,1,1152
Furniture,10/24/2015,Consumer,1,3161
Furniture,10/26/2015,Consumer,1,4242
Furniture,10/29/2015,Consumer,1,150
Furniture,11/1/2015,Consumer,1,1460
Furniture,11/3/2015,Consumer,1,265
Furniture,11/6/2015,Consumer,1,287
Furniture,11/8/2015,Consumer,1,530
Furniture,11/10/2015,Consumer,1,49
Furniture,11/15/2015,Consumer,1,711
Furniture,11/18/2015,Consumer,1,1012
Furniture,11/18/2015,Consumer,1,2073
Furniture,11/19/2015,Consumer,1,567
Furniture,11/23/2015,Consumer,1,1184
Furniture,11/24/2015,Consumer,1,30
Furniture,11/25/2015,Consumer,1,27
Furniture,11/25/2015,Consumer,1,317
Furniture,11/25/2015,Consumer,1,474
Furniture,11/26/2015,Consumer,1,1357
Furniture,12/1/2015,Consumer,1,220
Furniture,12/2/2015,Consumer,1,229
Furniture,12/5/2015,Consumer,1,116
Furniture,12/13/2015,Consumer,1,387
Furniture,12/15/2015,Consumer,1,1834
Furniture,12/16/2015,Consumer,1,284
Furniture,12/16/2015,Consumer,1,772
Furniture,12/16/2015,Consumer,1,3206
Furniture,12/18/2015,Consumer,1,870
Furniture,12/21/2015,Consumer,1,189
Furniture,12/21/2015,Consumer,1,1085
Furniture,12/22/2015,Consumer,1,425
Furniture,12/22/2015,Consumer,1,747
Furniture,12/29/2015,Consumer,1,634
Furniture,12/30/2015,Consumer,1,553
Furniture,12/31/2015,Consumer,1,1091
Furniture,12/31/2015,Consumer,1,1983
Furniture,1/6/2016,Consumer,1,169
Furniture,1/7/2016,Consumer,1,776
Furniture,1/8/2016,Consumer,1,56
Furniture,1/9/2016,Consumer,1,239
Furniture,1/9/2016,Consumer,1,1617
Furniture,1/12/2016,Consumer,1,74
Furniture,1/12/2016,Consumer,1,196
Furniture,1/23/2016,Consumer,1,328
Furniture,1/24/2016,Consumer,1,133
Furniture,1/28/2016,Consumer,1,704
Furniture,1/30/2016,Consumer,1,23
Furniture,1/31/2016,Consumer,1,1852
Furniture,2/2/2016,Consumer,1,487
Furniture,2/3/2016,Consumer,1,484
Furniture,2/4/2016,Consumer,1,14
Furniture,2/5/2016,Consumer,1,500
Furniture,2/8/2016,Consumer,1,147
Furniture,2/15/2016,Consumer,1,1135
Furniture,2/19/2016,Consumer,1,836
Furniture,2/24/2016,Consumer,1,184
Furniture,3/3/2016,Consumer,1,258
Furniture,3/7/2016,Consumer,1,1548
Furniture,3/11/2016,Consumer,1,89
Furniture,3/13/2016,Consumer,1,307
Furniture,3/13/2016,Consumer,1,425
Furniture,3/16/2016,Consumer,1,46
Furniture,3/19/2016,Consumer,1,112
Furniture,3/22/2016,Consumer,1,610
Furniture,3/23/2016,Consumer,1,1355
Furniture,3/24/2016,Consumer,1,23
Furniture,3/25/2016,Consumer,1,32
Furniture,4/1/2016,Consumer,1,383
Furniture,4/1/2016,Consumer,1,1358
Furniture,4/2/2016,Consumer,1,1202
Furniture,4/2/2016,Consumer,1,1557
Furniture,4/4/2016,Consumer,1,301
Furniture,4/4/2016,Consumer,1,9254
Furniture,4/5/2016,Consumer,1,24
Furniture,4/5/2016,Consumer,1,2028
Furniture,4/7/2016,Consumer,1,407
Furniture,4/11/2016,Consumer,1,178
Furniture,4/11/2016,Consumer,1,952
Furniture,4/17/2016,Consumer,1,173
Furniture,4/17/2016,Consumer,1,2164
Furniture,4/18/2016,Consumer,1,205
Furniture,4/22/2016,Consumer,1,259
Furniture,5/2/2016,Consumer,1,16
Furniture,5/5/2016,Consumer,1,180
Furniture,5/7/2016,Consumer,1,160
Furniture,5/8/2016,Consumer,1,1654
Furniture,5/19/2016,Consumer,1,309
Furniture,5/21/2016,Consumer,1,74
Furniture,5/21/2016,Consumer,1,125
Furniture,5/23/2016,Consumer,1,408
Furniture,5/28/2016,Consumer,1,259
Furniture,5/29/2016,Consumer,1,1666
Furniture,6/3/2016,Consumer,1,375
Furniture,6/4/2016,Consumer,1,150
Furniture,6/4/2016,Consumer,1,1617
Furniture,6/6/2016,Consumer,1,80
Furniture,6/6/2016,Consumer,1,131
Furniture,6/9/2016,Consumer,1,445
Furniture,6/9/2016,Consumer,1,1120
Furniture,6/17/2016,Consumer,1,59
Furniture,6/18/2016,Consumer,1,141
Furniture,6/18/2016,Consumer,1,264
Furniture,6/24/2016,Consumer,1,115
Furniture,6/24/2016,Consumer,1,151
Furniture,6/24/2016,Consumer,1,332
Furniture,6/24/2016,Consumer,1,1508
Furniture,6/29/2016,Consumer,1,283
Furniture,6/29/2016,Consumer,1,295
Furniture,6/29/2016,Consumer,1,952
Furniture,7/1/2016,Consumer,1,87
Furniture,7/2/2016,Consumer,1,1282
Furniture,7/3/2016,Consumer,1,277
Furniture,7/3/2016,Consumer,1,423
Furniture,7/3/2016,Consumer,1,2639
Furniture,7/6/2016,Consumer,1,21
Furniture,7/6/2016,Consumer,1,793
Furniture,7/7/2016,Consumer,1,906
Furniture,7/10/2016,Consumer,1,142
Furniture,7/13/2016,Consumer,1,7
Furniture,7/14/2016,Consumer,1,218
Furniture,7/15/2016,Consumer,1,552
Furniture,7/19/2016,Consumer,1,8
Furniture,7/19/2016,Consumer,1,96
Furniture,7/20/2016,Consumer,1,14
Furniture,7/20/2016,Consumer,1,611
Furniture,7/20/2016,Consumer,1,1240
Furniture,7/27/2016,Consumer,1,51
Furniture,7/28/2016,Consumer,1,13
Furniture,7/31/2016,Consumer,1,363
Furniture,8/10/2016,Consumer,1,42
Furniture,8/10/2016,Consumer,1,358
Furniture,8/15/2016,Consumer,1,317
Furniture,8/17/2016,Consumer,1,241
Furniture,8/18/2016,Consumer,1,825
Furniture,8/21/2016,Consumer,1,757
Furniture,8/24/2016,Consumer,1,1443
Furniture,8/31/2016,Consumer,1,302
Furniture,9/4/2016,Consumer,1,539
Furniture,9/5/2016,Consumer,1,16
Furniture,9/6/2016,Consumer,1,904
Furniture,9/11/2016,Consumer,1,28
Furniture,9/12/2016,Consumer,1,738
Furniture,9/16/2016,Consumer,1,562
Furniture,9/19/2016,Consumer,1,35
Furniture,9/19/2016,Consumer,1,365
Furniture,9/21/2016,Consumer,1,360
Furniture,9/23/2016,Consumer,1,27
Furniture,9/28/2016,Consumer,1,286
Furniture,9/30/2016,Consumer,1,60
Furniture,10/4/2016,Consumer,1,1500
Furniture,10/5/2016,Consumer,1,15
Furniture,10/9/2016,Consumer,1,2807
Furniture,10/11/2016,Consumer,1,331
Furniture,10/11/2016,Consumer,1,513
Furniture,10/12/2016,Consumer,1,130
Furniture,10/14/2016,Consumer,1,1117
Furniture,10/17/2016,Consumer,1,598
Furniture,10/17/2016,Consumer,1,818
Furniture,10/19/2016,Consumer,1,387
Furniture,10/20/2016,Consumer,1,190
Furniture,10/22/2016,Consumer,1,12
Furniture,10/22/2016,Consumer,1,148
Furniture,10/25/2016,Consumer,1,4
Furniture,10/25/2016,Consumer,1,57
Furniture,10/30/2016,Consumer,1,33
Furniture,11/5/2016,Consumer,1,760
Furniture,11/8/2016,Consumer,1,20
Furniture,11/12/2016,Consumer,1,752
Furniture,11/17/2016,Consumer,1,1369
Furniture,11/19/2016,Consumer,1,229
Furniture,11/20/2016,Consumer,1,190
Furniture,11/22/2016,Consumer,1,87
Furniture,11/26/2016,Consumer,1,51
Furniture,11/26/2016,Consumer,1,553
Furniture,11/28/2016,Consumer,1,562
Furniture,11/29/2016,Consumer,1,113
Furniture,12/4/2016,Consumer,1,984
Furniture,12/5/2016,Consumer,1,1267
Furniture,12/6/2016,Consumer,1,609
Furniture,12/12/2016,Consumer,1,683
Furniture,12/15/2016,Consumer,1,1458
Furniture,12/17/2016,Consumer,1,399
Furniture,12/19/2016,Consumer,1,602
Furniture,12/19/2016,Consumer,1,770
Furniture,12/20/2016,Consumer,1,466
Furniture,12/22/2016,Consumer,1,1493
Furniture,12/25/2016,Consumer,1,41
Furniture,12/26/2016,Consumer,1,283
Furniture,12/26/2016,Consumer,1,794
Furniture,12/29/2016,Consumer,1,10
Furniture,12/29/2016,Consumer,1,180
Furniture,1/5/2014,Corporate,1,69
Furniture,1/11/2014,Corporate,1,1190
Furniture,1/16/2014,Corporate,1,1040
Furniture,1/18/2014,Corporate,1,13
Furniture,1/23/2014,Corporate,1,35
Furniture,1/25/2014,Corporate,1,496
Furniture,1/31/2014,Corporate,1,36
Furniture,2/4/2014,Corporate,1,370
Furniture,2/12/2014,Corporate,1,10
Furniture,2/18/2014,Corporate,1,185
Furniture,2/24/2014,Corporate,1,33
Furniture,2/26/2014,Corporate,1,23
Furniture,3/7/2014,Corporate,1,61
Furniture,3/9/2014,Corporate,1,282
Furniture,3/9/2014,Corporate,1,1059
Furniture,3/12/2014,Corporate,1,357
Furniture,3/16/2014,Corporate,1,406
Furniture,3/19/2014,Corporate,1,1752
Furniture,3/20/2014,Corporate,1,85
Furniture,3/22/2014,Corporate,1,950
Furniture,3/31/2014,Corporate,1,600
Furniture,4/9/2014,Corporate,1,409
Furniture,4/15/2014,Corporate,1,1235
Furniture,4/17/2014,Corporate,1,982
Furniture,4/18/2014,Corporate,1,450
Furniture,4/19/2014,Corporate,1,160
Furniture,4/21/2014,Corporate,1,53
Furniture,4/23/2014,Corporate,1,290
Furniture,4/26/2014,Corporate,1,109
Furniture,4/29/2014,Corporate,1,190
Furniture,4/29/2014,Corporate,1,300
Furniture,5/10/2014,Corporate,1,6
Furniture,5/17/2014,Corporate,1,131
Furniture,5/20/2014,Corporate,1,252
Furniture,5/22/2014,Corporate,1,41
Furniture,5/23/2014,Corporate,1,591
Furniture,5/23/2014,Corporate,1,858
Furniture,5/26/2014,Corporate,1,179
Furniture,5/30/2014,Corporate,1,429
Furniture,5/31/2014,Corporate,1,501
Furniture,6/3/2014,Corporate,1,39
Furniture,6/13/2014,Corporate,1,158
Furniture,6/21/2014,Corporate,1,885
Furniture,6/23/2014,Corporate,1,24
Furniture,6/23/2014,Corporate,1,40
Furniture,6/29/2014,Corporate,1,124
Furniture,7/7/2014,Corporate,1,208
Furniture,7/14/2014,Corporate,1,40
Furniture,7/19/2014,Corporate,1,330
Furniture,7/22/2014,Corporate,1,20
Furniture,7/23/2014,Corporate,1,188
Furniture,7/28/2014,Corporate,1,384
Furniture,8/2/2014,Corporate,1,908
Furniture,8/3/2014,Corporate,1,64
Furniture,8/3/2014,Corporate,1,113
Furniture,8/4/2014,Corporate,1,578
Furniture,8/6/2014,Corporate,1,29
Furniture,8/8/2014,Corporate,1,649
Furniture,8/15/2014,Corporate,1,369
Furniture,8/17/2014,Corporate,1,32
Furniture,8/18/2014,Corporate,1,4549
Furniture,8/20/2014,Corporate,1,811
Furniture,8/22/2014,Corporate,1,233
Furniture,8/24/2014,Corporate,1,62
Furniture,8/24/2014,Corporate,1,494
Furniture,8/28/2014,Corporate,1,214
Furniture,8/29/2014,Corporate,1,444
Furniture,8/29/2014,Corporate,1,1691
Furniture,9/9/2014,Corporate,1,74
Furniture,9/9/2014,Corporate,1,845
Furniture,9/13/2014,Corporate,1,217
Furniture,9/20/2014,Corporate,1,1437
Furniture,9/27/2014,Corporate,1,2856
Furniture,9/29/2014,Corporate,1,29
Furniture,10/3/2014,Corporate,1,19
Furniture,10/17/2014,Corporate,1,210
Furniture,10/18/2014,Corporate,1,30
Furniture,10/18/2014,Corporate,1,436
Furniture,10/20/2014,Corporate,1,7
Furniture,10/23/2014,Corporate,1,507
Furniture,10/29/2014,Corporate,1,23
Furniture,10/30/2014,Corporate,1,39
Furniture,11/8/2014,Corporate,1,232
Furniture,11/9/2014,Corporate,1,482
Furniture,11/9/2014,Corporate,1,634
Furniture,11/12/2014,Corporate,1,239
Furniture,11/12/2014,Corporate,1,651
Furniture,11/16/2014,Corporate,1,13
Furniture,11/16/2014,Corporate,1,406
Furniture,11/25/2014,Corporate,1,1135
Furniture,11/26/2014,Corporate,1,68
Furniture,11/30/2014,Corporate,1,1764
Furniture,12/2/2014,Corporate,1,14
Furniture,12/3/2014,Corporate,1,244
Furniture,12/6/2014,Corporate,1,1174
Furniture,12/10/2014,Corporate,1,1537
Furniture,12/12/2014,Corporate,1,737
Furniture,12/13/2014,Corporate,1,22
Furniture,12/16/2014,Corporate,1,482
Furniture,12/18/2014,Corporate,1,373
Furniture,12/18/2014,Corporate,1,677
Furniture,12/19/2014,Corporate,1,763
Furniture,12/21/2014,Corporate,1,8
Furniture,12/27/2014,Corporate,1,88
Furniture,1/6/2015,Corporate,1,47
Furniture,1/6/2015,Corporate,1,80
Furniture,1/6/2015,Corporate,1,1922
Furniture,1/10/2015,Corporate,1,24
Furniture,1/16/2015,Corporate,1,581
Furniture,1/22/2015,Corporate,1,626
Furniture,2/3/2015,Corporate,1,38
Furniture,2/3/2015,Corporate,1,173
Furniture,2/4/2015,Corporate,1,273
Furniture,2/6/2015,Corporate,1,390
Furniture,2/12/2015,Corporate,1,167
Furniture,2/15/2015,Corporate,1,842
Furniture,2/20/2015,Corporate,1,51
Furniture,2/21/2015,Corporate,1,43
Furniture,2/23/2015,Corporate,1,33
Furniture,2/25/2015,Corporate,1,880
Furniture,2/27/2015,Corporate,1,94
Furniture,3/7/2015,Corporate,1,2800
Furniture,3/14/2015,Corporate,1,1911
Furniture,3/16/2015,Corporate,1,14
Furniture,3/18/2015,Corporate,1,653
Furniture,3/19/2015,Corporate,1,148
Furniture,3/22/2015,Corporate,1,185
Furniture,3/27/2015,Corporate,1,244
Furniture,3/29/2015,Corporate,1,3070
Furniture,3/30/2015,Corporate,1,680
Furniture,4/8/2015,Corporate,1,349
Furniture,4/10/2015,Corporate,1,289
Furniture,4/18/2015,Corporate,1,389
Furniture,4/21/2015,Corporate,1,857
Furniture,4/22/2015,Corporate,1,147
Furniture,4/25/2015,Corporate,1,265
Furniture,4/25/2015,Corporate,1,539
Furniture,4/28/2015,Corporate,1,203
Furniture,5/2/2015,Corporate,1,189
Furniture,5/5/2015,Corporate,1,128
Furniture,5/5/2015,Corporate,1,392
Furniture,5/7/2015,Corporate,1,148
Furniture,5/8/2015,Corporate,1,145
Furniture,5/10/2015,Corporate,1,236
Furniture,5/12/2015,Corporate,1,904
Furniture,5/16/2015,Corporate,1,1191
Furniture,5/28/2015,Corporate,1,295
Furniture,5/30/2015,Corporate,1,286
Furniture,6/1/2015,Corporate,1,17
Furniture,6/2/2015,Corporate,1,567
Furniture,6/3/2015,Corporate,1,118
Furniture,6/3/2015,Corporate,1,1050
Furniture,6/8/2015,Corporate,1,217
Furniture,6/10/2015,Corporate,1,72
Furniture,6/10/2015,Corporate,1,187
Furniture,6/16/2015,Corporate,1,244
Furniture,6/18/2015,Corporate,1,1294
Furniture,6/25/2015,Corporate,1,113
Furniture,6/25/2015,Corporate,1,207
Furniture,7/2/2015,Corporate,1,68
Furniture,7/8/2015,Corporate,1,2527
Furniture,7/13/2015,Corporate,1,812
Furniture,7/14/2015,Corporate,1,202
Furniture,7/18/2015,Corporate,1,167
Furniture,7/25/2015,Corporate,1,21
Furniture,7/27/2015,Corporate,1,184
Furniture,8/3/2015,Corporate,1,762
Furniture,8/11/2015,Corporate,1,425
Furniture,8/18/2015,Corporate,1,1915
Furniture,8/19/2015,Corporate,1,943
Furniture,8/29/2015,Corporate,1,118
Furniture,9/5/2015,Corporate,1,2090
Furniture,9/7/2015,Corporate,1,64
Furniture,9/8/2015,Corporate,1,86
Furniture,9/9/2015,Corporate,1,411
Furniture,9/13/2015,Corporate,1,78
Furniture,9/14/2015,Corporate,1,458
Furniture,9/15/2015,Corporate,1,1842
Furniture,9/18/2015,Corporate,1,28
Furniture,9/18/2015,Corporate,1,53
Furniture,9/20/2015,Corporate,1,478
Furniture,9/29/2015,Corporate,1,1689
Furniture,10/6/2015,Corporate,1,138
Furniture,10/7/2015,Corporate,1,1280
Furniture,10/19/2015,Corporate,1,1161
Furniture,10/22/2015,Corporate,1,92
Furniture,10/22/2015,Corporate,1,328
Furniture,10/23/2015,Corporate,1,1539
Furniture,10/28/2015,Corporate,1,190
Furniture,10/31/2015,Corporate,1,174
Furniture,11/3/2015,Corporate,1,15
Furniture,11/11/2015,Corporate,1,227
Furniture,11/13/2015,Corporate,1,61
Furniture,11/17/2015,Corporate,1,47
Furniture,11/20/2015,Corporate,1,584
Furniture,11/20/2015,Corporate,1,1106
Furniture,11/21/2015,Corporate,1,548
Furniture,11/22/2015,Corporate,1,182
Furniture,11/25/2015,Corporate,1,276
Furniture,12/4/2015,Corporate,1,17
Furniture,12/8/2015,Corporate,1,394
Furniture,12/14/2015,Corporate,1,53
Furniture,12/17/2015,Corporate,1,32
Furniture,12/20/2015,Corporate,1,67
Furniture,12/20/2015,Corporate,1,81
Furniture,12/26/2015,Corporate,1,314
Furniture,12/26/2015,Corporate,1,1525
Furniture,12/26/2015,Corporate,1,1862
Furniture,12/28/2015,Corporate,1,56
Furniture,12/31/2015,Corporate,1,231
Furniture,1/1/2016,Corporate,1,142
Furniture,1/3/2016,Corporate,1,77
Furniture,1/6/2016,Corporate,1,1804
Furniture,1/15/2016,Corporate,1,373
Furniture,1/22/2016,Corporate,1,19
Furniture,1/23/2016,Corporate,1,2298
Furniture,1/27/2016,Corporate,1,430
Furniture,2/4/2016,Corporate,1,300
Furniture,2/6/2016,Corporate,1,252
Furniture,2/16/2016,Corporate,1,504
Furniture,2/18/2016,Corporate,1,10
Furniture,2/19/2016,Corporate,1,9
Furniture,2/22/2016,Corporate,1,602
Furniture,2/23/2016,Corporate,1,2118
Furniture,2/24/2016,Corporate,1,765
Furniture,2/27/2016,Corporate,1,33
Furniture,2/29/2016,Corporate,1,656
Furniture,3/11/2016,Corporate,1,119
Furniture,3/13/2016,Corporate,1,10
Furniture,3/15/2016,Corporate,1,1668
Furniture,3/16/2016,Corporate,1,423
Furniture,3/17/2016,Corporate,1,270
Furniture,3/21/2016,Corporate,1,149
Furniture,3/22/2016,Corporate,1,667
Furniture,3/25/2016,Corporate,1,186
Furniture,4/2/2016,Corporate,1,153
Furniture,4/2/2016,Corporate,1,919
Furniture,4/3/2016,Corporate,1,500
Furniture,4/4/2016,Corporate,1,3631
Furniture,4/7/2016,Corporate,1,761
Furniture,4/9/2016,Corporate,1,35
Furniture,4/12/2016,Corporate,1,15
Furniture,4/14/2016,Corporate,1,216
Furniture,4/14/2016,Corporate,1,379
Furniture,4/14/2016,Corporate,1,1065
Furniture,4/14/2016,Corporate,1,3435
Furniture,4/15/2016,Corporate,1,16
Furniture,4/15/2016,Corporate,1,96
Furniture,4/15/2016,Corporate,1,811
Furniture,4/16/2016,Corporate,1,630
Furniture,4/18/2016,Corporate,1,2519
Furniture,4/30/2016,Corporate,1,344
Furniture,5/4/2016,Corporate,1,10
Furniture,5/4/2016,Corporate,1,499
Furniture,5/7/2016,Corporate,1,1493
Furniture,5/13/2016,Corporate,1,6
Furniture,5/16/2016,Corporate,1,188
Furniture,5/16/2016,Corporate,1,2602
Furniture,5/31/2016,Corporate,1,138
Furniture,6/1/2016,Corporate,1,333
Furniture,6/7/2016,Corporate,1,28
Furniture,6/9/2016,Corporate,1,86
Furniture,6/9/2016,Corporate,1,321
Furniture,6/9/2016,Corporate,1,567
Furniture,6/10/2016,Corporate,1,628
Furniture,6/14/2016,Corporate,1,118
Furniture,6/14/2016,Corporate,1,1047
Furniture,6/23/2016,Corporate,1,719
Furniture,6/29/2016,Corporate,1,246
Furniture,6/30/2016,Corporate,1,629
Furniture,7/3/2016,Corporate,1,368
Furniture,7/4/2016,Corporate,1,13
Furniture,7/10/2016,Corporate,1,13
Furniture,7/11/2016,Corporate,1,86
Furniture,7/15/2016,Corporate,1,82
Furniture,7/26/2016,Corporate,1,1449
Furniture,7/26/2016,Corporate,1,1636
Furniture,7/29/2016,Corporate,1,88
Furniture,7/30/2016,Corporate,1,147
Furniture,8/1/2016,Corporate,1,623
Furniture,8/3/2016,Corporate,1,193
Furniture,8/9/2016,Corporate,1,515
Furniture,8/9/2016,Corporate,1,771
Furniture,8/9/2016,Corporate,1,1987
Furniture,8/10/2016,Corporate,1,3115
Furniture,8/12/2016,Corporate,1,351
Furniture,8/12/2016,Corporate,1,1194
Furniture,8/13/2016,Corporate,1,826
Furniture,8/13/2016,Corporate,1,891
Furniture,8/14/2016,Corporate,1,3
Furniture,8/20/2016,Corporate,1,1467
Furniture,8/28/2016,Corporate,1,27
Furniture,8/30/2016,Corporate,1,27
Furniture,8/30/2016,Corporate,1,789
Furniture,9/2/2016,Corporate,1,1320
Furniture,9/3/2016,Corporate,1,1631
Furniture,9/10/2016,Corporate,1,901
Furniture,9/15/2016,Corporate,1,1472
Furniture,9/18/2016,Corporate,1,131
Furniture,9/18/2016,Corporate,1,234
Furniture,9/20/2016,Corporate,1,234
Furniture,9/20/2016,Corporate,1,247
Furniture,9/20/2016,Corporate,1,483
Furniture,9/20/2016,Corporate,1,2174
Furniture,9/22/2016,Corporate,1,697
Furniture,9/24/2016,Corporate,1,287
Furniture,9/27/2016,Corporate,1,9
Furniture,9/27/2016,Corporate,1,251
Furniture,9/28/2016,Corporate,1,206
Furniture,9/30/2016,Corporate,1,98
Furniture,10/2/2016,Corporate,1,9
Furniture,10/2/2016,Corporate,1,1842
Furniture,10/8/2016,Corporate,1,41
Furniture,10/16/2016,Corporate,1,274
Furniture,10/17/2016,Corporate,1,215
Furniture,10/20/2016,Corporate,1,48
Furniture,10/23/2016,Corporate,1,883
Furniture,10/25/2016,Corporate,1,108
Furniture,10/25/2016,Corporate,1,1111
Furniture,11/1/2016,Corporate,1,539
Furniture,11/4/2016,Corporate,1,93
Furniture,11/17/2016,Corporate,1,196
Furniture,11/21/2016,Corporate,1,292
Furniture,11/23/2016,Corporate,1,66
Furniture,11/26/2016,Corporate,1,1328
Furniture,12/2/2016,Corporate,1,534
Furniture,12/5/2016,Corporate,1,305
Furniture,12/6/2016,Corporate,1,1967
Furniture,12/19/2016,Corporate,1,286
Furniture,12/26/2016,Corporate,1,433
Furniture,12/28/2016,Corporate,1,519
Furniture,1/1/2017,Corporate,1,135
Furniture,1/5/2014,Home Office,1,188
Furniture,1/29/2014,Home Office,1,1995
Furniture,1/31/2014,Home Office,1,115
Furniture,2/5/2014,Home Office,1,423
Furniture,2/7/2014,Home Office,1,92
Furniture,2/7/2014,Home Office,1,143
Furniture,2/13/2014,Home Office,1,163
Furniture,2/13/2014,Home Office,1,441
Furniture,2/16/2014,Home Office,1,157
Furniture,3/2/2014,Home Office,1,151
Furniture,3/2/2014,Home Office,1,948
Furniture,3/5/2014,Home Office,1,38
